day,trial,led_on_time_s,arrival_time_s,delay_s
1,1,38.502272,38.50513333333333,0.0028613333333353808
1,2,69.0541488,69.069,0.014851200000009612
1,3,97.533766,97.53076666666666,-0.00299933333333513
1,4,123.9794038,123.99053333333333,0.011129533333331665
1,5,153.4646018,153.4533,-0.011301799999984041
1,6,174.0468039,174.04053333333334,-0.0062705666666431625
1,7,211.5774316,211.57803333333334,0.0006017333333261377
1,8,254.2199625,254.22063333333332,0.0006708333333165228
1,9,297.7410852,297.7307666666667,-0.010318533333304458
1,10,328.3965573,328.39473333333336,-0.0018239666666204357
1,11,344.0232426,344.01033333333334,-0.012909266666667918
1,12,379.4092304,379.4123666666667,0.003136266666672327
1,13,412.9613327,412.9458666666667,-0.015466033333325413
1,14,428.3993453,428.39463333333333,-0.004711966666661738
1,15,473.891801,nan,nan
2,1,39.4355961,39.4394,0.0038039000000011924
2,2,60.0598508,60.06,0.00014920000000273603
2,3,92.545034,92.55913333333334,0.01409933333333413
2,4,134.0400655,134.0339,-0.006165500000008706
2,5,174.4550654,174.44093333333333,-0.014132066666661558
2,6,208.9136465,208.9087,-0.0049464999999884185
2,7,242.4121212,242.40883333333335,-0.003287866666653372
2,8,277.9884711,277.9777,-0.010771099999999478
2,9,311.4819148,311.47783333333336,-0.0040814666666619814
2,10,341.9403189,341.9416,0.0012810999999715023
2,11,357.4283887,357.42373333333336,-0.004655366666668215
2,12,391.982097,391.9916,0.009502999999995154
2,13,419.3887387,419.3856333333333,-0.0031053666666593926
2,14,447.9538615,447.9475,-0.006361500000025444
2,15,477.4466138,nan,nan
3,1,41.4673604,41.47476666666667,0.007406266666670547
3,2,60.1057454,60.09336666666667,-0.01237873333333539
3,3,76.5548984,76.54313333333333,-0.0117650666666691
3,4,110.0289541,110.04326666666667,0.014312566666660587
3,5,127.5112434,127.5274,0.016156600000002186
3,6,155.0322084,155.02153333333334,-0.01067506666666418
3,7,186.5009502,186.4863,-0.014650200000005498
3,8,205.9910039,206.0058,0.01479609999998388
3,9,240.6310586,240.6404,0.009341400000010935
3,10,258.1087673,258.1245333333333,0.01576603333330695
3,11,293.6636682,293.66003333333333,-0.0036348666666867757
3,12,330.1165405,330.1298,0.013259500000003754
3,13,356.6676526,356.6563,-0.01135260000000926
3,14,386.174923,386.18580000000003,0.01087700000005043
3,15,409.7282082,409.74266666666665,0.014458466666667391
4,1,28.4567394,28.461766666666666,0.005027266666665753
4,2,52.9346476,52.919533333333334,-0.015114266666664378
4,3,96.4533461,96.46303333333333,0.009687233333323775
4,4,132.9305347,132.93280000000001,0.0022653000000047996
4,5,152.4795903,152.48566666666667,0.00607636666666167
4,6,185.0470691,185.05153333333334,0.004464233333351331
4,7,213.6054778,213.6134,0.007922200000024304
4,8,238.0387623,238.0378,-0.00096229999999764
4,9,264.560918,264.5643,0.0033819999999877837
4,10,299.0829625,299.0988,0.01583749999997508
4,11,314.6800064,314.68103333333335,0.0010269333333212671
4,12,343.178382,343.1761666666667,-0.0022153333333108094
4,13,386.5693061,386.55283333333335,-0.016472766666652205
4,14,419.0794693,419.0853333333333,0.005864033333295993
4,15,434.6232559,434.6342,0.010944100000017443
5,1,44.5043868,44.51113333333333,0.006746533333334526
5,2,67.1066996,67.10036666666667,-0.006332933333325741
5,3,90.6372304,90.62386666666667,-0.013363733333335404
5,4,125.1859883,125.19173333333333,0.0057450333333264325
5,5,155.6385403,155.62213333333332,-0.016406966666664857
5,6,183.1778953,183.183,0.005104700000003959
5,7,211.6784298,211.67813333333334,-0.0002964666666684934
5,8,245.3078499,245.31173333333334,0.003883433333328412
5,9,270.9025078,270.9039666666667,0.001458866666666836
5,10,295.431923,295.4284666666667,-0.0034563333333039736
5,11,322.9736125,322.9893333333333,0.01572083333331875
5,12,366.3928218,366.39936666666665,0.006544866666672533
5,13,399.8898433,399.8995,0.009656699999993634
5,14,433.4147805,433.3996333333333,-0.015147166666679368
5,15,458.9302443,458.92513333333335,-0.005110966666677541
