day,trial,led_on_time_s,arrival_time_s,delay_s
1,1,47.4895635,47.48076666666667,-0.00879683333333503
1,2,76.0747661,76.07600000000001,0.0012339000000025635
1,3,98.6376879,98.63186666666667,-0.00582123333333584
1,4,117.1104069,117.117,0.00659310000000346
1,5,140.6685361,140.67386666666667,0.0053305666666574325
1,6,176.303153,176.30946666666668,0.00631366666667077
1,7,191.8929835,191.89170000000001,-0.0012834999999995489
1,8,237.4422089,237.43720000000002,-0.0050088999999786665
1,9,271.9876746,271.9717,-0.015974599999992734
1,10,299.4147925,299.39910000000003,-0.015692499999943266
1,11,320.9578228,320.95396666666664,-0.003856133333329126
1,12,365.5696998,365.5652,-0.00449980000001915
1,13,411.1899267,411.17743333333334,-0.012493366666660677
1,14,440.741341,440.7403,-0.001040999999986525
1,15,459.3017641,459.2921666666667,-0.009597433333340177
2,1,21.4673032,21.454766666666668,-0.012536533333332045
2,2,61.0693153,61.061,-0.008315299999999581
2,3,94.6373846,94.62786666666666,-0.009517933333341944
2,4,133.2472553,133.2331,-0.01415529999999876
2,5,159.8009808,159.79296666666667,-0.008014133333318796
2,6,204.4585533,204.47093333333333,0.012380033333329266
2,7,248.9857063,248.98206666666667,-0.0036396333333357234
2,8,285.5307635,285.5185666666667,-0.012196833333291579
2,9,315.0676287,315.08143333333334,0.013804633333336369
2,10,343.5473819,343.5432,-0.004181899999991856
2,11,370.2009289,370.2031666666667,0.002237766666667085
2,12,412.7320302,412.7456666666667,0.013636466666696379
2,13,430.2811998,430.29653333333334,0.015333533333318883
2,14,468.801971,468.8016666666667,-0.00030433333330393
2,15,503.2997365,nan,nan
3,1,38.5255013,38.5385,0.012998699999997143
3,2,68.2910631,68.30156666666667,0.01050356666667085
3,3,109.8147157,109.8097,-0.005015699999987078
3,4,129.4572824,129.46266666666668,0.005384266666681015
3,5,151.0589502,151.0509,-0.008050199999985352
3,6,173.5328658,173.54003333333333,0.0071675333333303115
3,7,207.096966,207.1069,0.009933999999987009
3,8,222.6479038,222.65576666666666,0.007862866666670243
3,9,244.2429144,244.244,0.001085600000010345
3,10,268.7534889,268.7685,0.015011100000037914
3,11,293.3573097,293.35973333333334,0.0024236333333647053
3,12,308.9284263,308.94196666666664,0.013540366666632053
3,13,344.527585,344.5442,0.0166150000000016
3,14,373.9213469,373.9068666666667,-0.01448023333330184
3,15,391.5117474,391.5244666666667,0.012719266666692874
4,1,21.4821574,21.488133333333334,0.005975933333335348
4,2,43.0210127,43.00963333333333,-0.011379366666666613
4,3,87.5548581,87.55413333333334,-0.0007247666666643227
4,4,129.079888,129.09563333333332,0.015745333333313738
4,5,157.5830928,157.59076666666667,0.007673866666664253
4,6,185.2048104,185.21836666666667,0.013556266666654437
4,7,229.6651837,229.66276666666667,-0.0024170333333302096
4,8,268.2960574,268.3013666666667,0.005309266666699841
4,9,284.7225937,284.71776666666665,-0.004827033333356212
4,10,304.3341253,304.3373666666667,0.0032413666667139296
4,11,322.8637238,322.85586666666666,-0.0078571333333457
4,12,352.4181003,352.41873333333336,0.0006330333333721683
4,13,380.9658527,380.9806,0.014747299999953611
4,14,418.5543714,418.55146666666667,-0.0029047333333096503
4,15,453.0412142,453.0526,0.011385799999970914
5,1,25.4324107,25.4254,-0.007010699999998593
5,2,47.9918163,47.98126666666667,-0.010549633333333475
5,3,91.5794402,91.5915,0.012059800000002951
5,4,132.2214936,132.2321,0.010606400000000349
5,5,173.7230386,173.70686666666666,-0.01617193333333944
5,6,217.2383109,217.25036666666668,0.01205576666669117
5,7,241.8038399,241.80823333333333,0.004393433333319763
5,8,271.3273715,271.33773333333335,0.010361833333320192
5,9,292.9697327,292.95933333333335,-0.01039936666666108
5,10,326.4402962,326.4261,-0.014196199999958026
5,11,359.0717726,359.0587,-0.013072599999986778
5,12,385.6465401,385.6519333333333,0.005393233333336411
5,13,429.2108503,429.19543333333337,-0.015416966666634835
5,14,466.680145,466.6662,-0.013944999999978336
5,15,482.2644909,nan,nan
6,1,38.4635591,38.47176666666667,0.008207566666669663
6,2,59.2000914,59.19246666666667,-0.007624733333329914
6,3,88.7374618,88.72196666666667,-0.015495133333331523
6,4,108.2639271,108.27483333333333,0.010906233333329851
6,5,132.7550557,132.76596666666666,0.010910966666642707
6,6,155.3824623,155.38856666666666,0.006104366666676242
6,7,185.9557296,185.95243333333335,-0.00329626666666627
6,8,212.528929,212.5123,-0.016628999999994676
6,9,240.1619061,240.17326666666668,0.011360566666667182
6,10,260.6846253,260.69376666666665,0.009141366666653994
6,11,298.1898284,298.1979,0.00807159999999385
6,12,320.6631715,320.65366666666665,-0.009504833333323859
6,13,346.2249235,346.21253333333334,-0.012390166666648383
6,14,390.7171713,390.7236666666667,0.006495366666683822
6,15,429.2863217,429.29553333333337,0.009211633333393365
