%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% Exp 3 Log File - John Walkey and David Euston
% The log file columns can be read as the following:
% Time, Event Type
%
% Event Types:    1 -- Session Start
%                 2 -- Session End
%                 5 -- Tone-Light Sync Pulse On
%                 6 -- Tone-Light Sync Pulse Off
%                10 -- Cue light on A
%                11 -- Cue light off A
%                15 -- Cue light on  B
%                16 -- Cue light off B
%                20 -- Poke Onset A
%                21 -- Poke Offset A
%                25 -- Poke Onset B
%                26 -- Poke Offset B
%                30 -- Stim Onset
%                40 -- Trial Timeout
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% rat: 1
% sess: 1
% ntrials: 20
% date and start time: 2024-12-04_10-47-31
% experimenter: JW

0.066,1
0.312,5
0.88,6
1.473,5
2.008,6
2.57,5
3.123,6
6.626,15
26.644,16
26.644,40
71.644,10
91.662,11
91.662,40
139.662,10
159.692,11
159.692,40
205.692,10
225.706,11
225.706,40
274.706,15
294.737,16
294.737,40
342.737,10
362.745,11
362.745,40
394.745,10
414.771,11
414.771,40
459.771,15
479.772,16
479.772,40
526.773,15
546.809,16
546.809,40
580.809,10
600.83,11
600.83,40
630.83,15
650.849,16
650.849,40
682.849,15
702.879,16
702.879,40
740.879,10
760.896,11
760.896,40
797.897,15
817.937,16
817.937,40
865.937,15
885.955,16
885.955,40
922.955,10
942.975,11
942.975,40
989.975,10
1009.994,11
1009.994,40
1048.994,10
1069.025,11
1069.025,40
1119.025,15
1139.026,16
1139.026,40
1173.026,10
1193.051,11
1193.051,40
1194.229,5
1194.752,6
1195.28,5
1195.812,6
1196.34,5
1196.869,6
1197.37,2
